Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Transaction fee (EUR),Finra fee (EUR),Notes,ID,French transaction tax,Currency conversion fee (EUR)
Market buy,2021-04-15 15:10:37,US8740391003,TSM,"Taiwan Semiconductor",0.5000000000,117.58,USD,1.19708,,49.18,,,,,,,EOF1285585163,,0.07
Market buy,2021-04-15 15:11:09,US15961R1059,CHPT,"ChargePoint Holdings",1.0000000000,22.83,USD,1.19712,,19.10,,,,,,,EOF1285585583,,0.03
Market buy,2021-04-15 15:11:42,US72919P2020,PLUG,"Plug Power",1.0000000000,26.40,USD,1.19703,,22.08,,,,,,,EOF1285585730,,0.03
Market buy,2021-04-15 18:19:18,US63008G2030,NNDM,"Nano Dimension ",2.0000000000,6.98,USD,1.19716,,11.68,,,,,,,EOF1286576728,,0.02
Market buy,2021-04-15 18:20:01,US98138J2069,WKHS,"Workhorse",1.0000000000,11.65,USD,1.19713,,9.74,,,,,,,EOF1286576789,,0.01
Market buy,2021-04-19 13:39:34,US5533681012,MP,"MP Materials",1.0000000000,30.17,USD,1.20251,,25.13,,,,,,,EOF1291330158,,0.04
Market buy,2021-04-19 13:43:58,US44951Y1029,HYZN,"Hyzon Motors",1.0000000000,10.00,USD,1.20240,,8.33,,,,,,,EOF1291332770,,0.01
Market buy,2021-04-19 13:49:55,US87663X1028,TTCF,"Tattooed Chef",1.0000000000,17.17,USD,1.20230,,14.30,,,,,,,EOF1291342041,,0.02
Dividend (Ordinary),2021-04-19 15:09:48,US11135E2037,BNL,"Broadstone Net Lease",3.0000000000,0.23,USD,Not available,,0.56,0.08,USD,,,,,,,
Dividend (Ordinary),2021-04-19 16:07:33,US7561091049,O,"Realty Income",1.0000000000,0.21,USD,Not available,,0.18,0.02,USD,,,,,,,
Market buy,2021-04-20 15:08:10,US23130Q1076,CURI,"CuriosityStream",2.0000000000,12.71,USD,1.20440,,21.14,,,,,,,EOF1294538413,,0.03
Dividend (Ordinary),2021-04-27 13:06:07,US6496045013,NYMT,"New York Mortgage Trust",10.0000000000,0.09,USD,Not available,,0.74,0.10,USD,,,,,,,
Deposit,2021-05-06 07:56:16,,,,,,,,,613.31,,,613.31,,,"Bank Transfer",343e8fc0-97cb-4a11-9994-53ce0a8555a4,,
Market buy,2021-05-06 17:25:31,US52603B1070,TREE,"Lendingtree",0.1581000000,191.69,USD,1.20489,,25.19,,,,,,,EOF1326372807,,0.04
Market buy,2021-05-06 17:28:53,US98138J2069,WKHS,"Workhorse",3.0000000000,9.66,USD,1.20499,,24.09,,,,,,,EOF1326373324,,0.04
Market buy,2021-05-06 17:31:22,US8676524064,SPWR,"SunPower",4.0000000000,22.61,USD,1.20470,,75.18,,,,,,,EOF1326373681,,0.11
Market buy,2021-05-06 17:35:50,CA1366351098,CSIQ,"Canadian Solar",2.0000000000,38.85,USD,1.20466,,64.60,,,,,,,EOF1326374755,,0.10
Market buy,2021-05-06 17:46:24,US70614W1009,PTON,"Peloton Interactive",1.0000000000,82.18,USD,1.20494,,68.30,,,,,,,EOF1326376362,,0.10
Market buy,2021-05-07 07:00:59,IE00B1XNHC34,INRG,"iShares Global Clean Energy",10.0000000000,891.25,GBX,86.68069,,102.97,,,,,,,EOF1326400325,,0.15
Market buy,2021-05-07 07:04:06,IE00BMC38736,SMGB,"VanEck Semiconductor",6.0000000000,16.64,GBP,0.86666,,115.38,,,,,,,EOF1326400812,,0.17
Market buy,2021-05-07 07:05:02,IE00BJGWQN72,WCLD,"WisdomTree Cloud Computing",2.0000000000,46.00,USD,1.20608,,76.39,,,,,,,EOF1326400944,,0.11
Market buy,2021-05-10 13:46:51,US77311W1018,RKT,"Rocket Companies",1.0000000000,17.44,USD,1.21573,,14.37,,,,,,,EOF1329704503,,0.02
Market buy,2021-05-10 13:52:00,US74736K1016,QRVO,"Qorvo",0.3000000000,171.95,USD,1.21588,,42.49,,,,,,,EOF1329707380,,0.06
Market sell,2021-05-10 15:16:55,IE00B0M63284,IPRP,"iShares European Property Yield",2.0008424300,3576.50,GBX,86.06789,3.83,83.02,,,,,,,EOF1330885795,,0.12
Market sell,2021-05-10 15:20:00,US2937921078,EPD,"Enterprise Products Partners",2.0000960000,23.54,USD,1.21610,4.22,38.66,,,,,,,EOF1330886585,,0.06
Limit buy,2021-05-10 15:20:30,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",1.0000000000,143.97,USD,1.21566,,118.61,,,,,,,EOF1330886684,,0.18
Deposit,2021-05-12 07:04:52,,,,,,,,,306.66,,,306.66,,,"Bank Transfer",c51e743f-cdd8-4dc3-9352-70d8c9df9471,,
Market buy,2021-05-12 14:35:10,US38113L1070,GNOG,"Golden Nugget Online Gaming",3.0000000000,11.06,USD,1.20757,,27.52,,,,,,,EOF1335438665,,0.04
Market buy,2021-05-12 14:47:49,US23130Q1076,CURI,"CuriosityStream",2.0000000000,9.25,USD,1.20753,,15.34,,,,,,,EOF1335441463,,0.02
Limit buy,2021-05-12 14:50:56,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",1.0000000000,130.00,USD,1.20697,,107.87,,,,,,,EOF1335442331,,0.16
Market buy,2021-05-12 15:12:05,US0079031078,AMD,"Advanced Micro Devices",1.0000000000,74.96,USD,1.20710,,62.19,,,,,,,EOF1335445825,,0.09
Limit sell,2021-05-12 15:14:00,US1729674242,C,"Citigroup",3.0000000000,76.00,USD,1.20719,34.99,188.59,,,,0.00,0.00,,EOF1335446142,,0.28
Market buy,2021-05-12 16:00:54,US90184L1026,TWTR,"Twitter",1.0000000000,50.35,USD,1.20699,,41.77,,,,,,,EOF1335453286,,0.06
Market buy,2021-05-12 19:26:02,US0272631021,AMLM,"American Lithium Minerals",50.0000000000,0.32,USD,1.20767,,13.24,,,,,,,EOF1336473667,,0.02
Market buy,2021-05-13 08:01:18,DE0007664039,VOW3,"Volkswagen",0.5000000000,199.74,EUR,1.00000,,99.87,,,,,,,EOF1336488901,,
Market buy,2021-05-13 11:27:27,IE00BMC38736,SMGB,"VanEck Semiconductor",5.0000000000,15.27,GBP,0.86041,,88.87,,,,,,,EOF1336503099,,0.13
Market buy,2021-05-13 13:50:55,US5533681012,MP,"MP Materials",2.0000000000,25.14,USD,1.20824,,41.67,,,,,,,EOF1337522852,,0.06
Dividend (Return of capital),2021-05-17 10:04:14,US2937921078,EPD,"Enterprise Products Partners",2.0000960000,0.45,USD,Not available,,0.74,0.00,USD,,,,,,,
Dividend (Ordinary),2021-05-17 14:19:13,US0378331005,AAPL,"Apple",2.0000000000,0.20,USD,Not available,,0.33,0.04,USD,,,,,,,
Market sell,2021-05-17 14:24:55,US9497461015,WFC,"Wells Fargo",2.0000000000,47.13,USD,1.21474,22.01,77.48,,,,,,,EOF1343779137,,0.12
Dividend (Ordinary),2021-05-18 12:04:46,US7561091049,O,"Realty Income",1.0000000000,0.21,USD,Not available,,0.17,0.02,USD,,,,,,,
Market buy,2021-05-19 08:06:27,XS2193972598,3LTS,"3x Long Tesla GraniteShares",2.0000000000,23.65,USD,1.22229,,38.76,,,,,,,EOF1345799306,,0.06
Market buy,2021-05-20 10:45:25,IE00B1TXK627,DH2O,"iShares Global Water USD",0.5000000000,61.49,USD,1.21946,,25.25,,,,,,,EOF1347945249,,0.04
Market sell,2021-05-25 08:32:51,XS2193972598,3LTS,"3x Long Tesla GraniteShares",2.0000000000,29.20,USD,1.22497,8.97,47.60,,,,,,,EOF1353762984,,0.07
Market sell,2021-05-26 14:54:22,US87663X1028,TTCF,"Tattooed Chef",3.0000000000,23.04,USD,1.22322,0.29,56.43,,,,,,,EOF1357087019,,0.08
Market sell,2021-05-26 15:04:07,US59833H1014,MEEC,"Midwest Energy Emissions",30.0000000000,1.25,USD,1.22211,1.01,30.63,,,,,,,EOF1357089140,,0.05
Market sell,2021-05-27 13:37:11,US8485771021,SAVE,"Spirit Airlines",2.0000000000,35.79,USD,1.21852,18.22,58.65,,,,,,,EOF1358554907,,0.09
Dividend (Ordinary),2021-05-28 09:42:35,IE00B1XNHC34,INRG,"iShares Global Clean Energy",40.0000000000,3.02,GBX,Not available,,1.40,0.00,GBX,,,,,,,
Dividend (Ordinary),2021-06-02 08:34:17,US1729674242,C,"Citigroup",3.0000000000,0.46,USD,Not available,,1.13,0.15,USD,,,,,,,
Dividend (Ordinary),2021-06-03 11:33:38,US9497461015,WFC,"Wells Fargo",2.0000000000,0.09,USD,Not available,,0.15,0.02,USD,,,,,,,
Dividend (Ordinary),2021-06-03 11:36:20,US9311421039,WMT,"Walmart",1.5000000000,0.50,USD,Not available,,0.61,0.08,USD,,,,,,,
Deposit,2021-06-03 12:26:18,,,,,,,,,306.68,,,306.68,,,"Bank Transfer",259bf573-f219-4988-8acb-59ee8a95dac7,,
Limit buy,2021-06-03 13:36:27,CA53680Q2071,LAC,"Lithium Americas",8.0000000000,15.30,USD,1.21478,,100.91,,,,,,,EOF1371867740,,0.15
Market sell,2021-06-03 13:40:11,US98138J2069,WKHS,"Workhorse",6.0000000000,15.93,USD,1.21489,20.04,78.55,,,,,,,EOF1371871484,,0.12
Limit buy,2021-06-03 13:43:02,US9129091081,X,"United States Steel",4.0000000000,25.20,USD,1.21477,,83.10,,,,,,,EOF1371874191,,0.12
Market buy,2021-06-03 13:52:04,US0378331005,AAPL,"Apple",1.0000000000,123.41,USD,1.21367,,101.83,,,,,,,EOF1371884953,,0.15
Market buy,2021-06-04 12:10:24,XS2193972598,3LTS,"3x Long Tesla GraniteShares",4.0000000000,25.14,USD,1.21163,,83.12,,,,,,,EOF1373752573,,0.12
